Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Dave Romney,NSH,D,23,23,2070,1,2,12,3,0,0/0,0,1,0.04,8.3,1,1,1,0.09,9,3,0,1,0,25.0,2020,reg
Derrick Etienne Jr.,CLB,M,21,8,891,1,2,13,2,1,0/0,1,0,0.1,7.7,1,2,0,0.2,12,30,5,0,0,15.38,2020,reg
Keegan Rosenberry,COL,D,17,16,1361,1,2,14,5,1,0/0,1,0,0.07,7.1,0,1,1,0.13,17,6,1,0,0,35.71,2020,reg
Francisco Calvo ,CHI,D,22,22,1911,1,2,16,3,0,0/0,0,1,0.05,6.3,0,0,2,0.09,30,6,2,6,1,18.75,2020,reg
Andres Ricaurte,DAL,M,14,13,1112,1,2,17,6,0,0/0,1,0,0.08,5.9,0,1,1,0.16,16,45,0,1,0,35.29,2020,reg
Efrain Alvarez,LA,M,16,6,718,1,2,17,4,0,0/0,0,1,0.13,5.9,0,2,0,0.25,3,3,0,0,0,23.53,2020,reg
Nick DeLeon,TOR,M,21,9,924,1,2,21,4,0,0/0,1,0,0.1,4.8,2,0,2,0.19,12,11,5,2,0,19.05,2020,reg
Heber,NYC,F,12,11,893,1,2,26,14,0,0/0,0,1,0.1,3.8,1,1,1,0.2,16,7,5,2,0,53.85,2020,reg
Ignacio Aliseda,CHI,M,20,16,1402,1,2,26,6,0,0/0,1,0,0.06,3.8,0,2,0,0.13,12,25,3,1,0,23.08,2020,reg
Eduard Atuesta,LAFC,M,17,14,1326,1,2,32,4,0,1/1,0,1,0.07,3.1,0,2,0,0.14,22,22,0,3,0,12.5,2020,reg
Gonzalo Higuaín,MIA,F,9,9,802,1,2,35,12,1,0/1,0,1,0.11,2.9,0,1,1,0.22,6,9,8,0,1,34.29,2020,reg
Ben Mines,RBNY,M,5,1,172,1,1,3,1,0,0/0,0,1,0.52,33.3,0,0,1,0.52,4,3,0,0,0,33.33,2020,reg
Jacori Hayes,MIN,M,11,6,602,1,1,4,1,0,0/0,1,0,0.15,25.0,0,1,0,0.15,7,18,0,1,0,25.0,2020,reg
Jonathan Bornstein,CHI,D,20,13,1141,1,1,4,3,0,0/0,0,1,0.08,25.0,1,1,0,0.08,12,16,0,2,0,75.0,2020,reg
Darlington Nagbe,CLB,M,15,14,1199,1,1,5,3,0,0/0,1,0,0.08,20.0,0,1,0,0.08,16,26,0,1,0,60.0,2020,reg
Mandela Egbo,RBNY,D,9,6,451,1,1,5,3,0,1/1,0,1,0.2,20.0,0,1,0,0.2,7,5,0,1,0,60.0,2020,reg
Handwalla Bwana,NSH,M,7,2,217,1,1,5,3,0,0/0,0,1,0.41,20.0,0,1,0,0.41,4,1,0,0,0,60.0,2020,reg
Larrys Mabiala,POR,D,17,15,1311,1,1,6,2,0,0/0,0,1,0.07,16.7,1,1,0,0.07,17,9,0,3,0,33.33,2020,reg
Antonio Carlos,ORL,D,20,18,1634,1,1,8,2,0,0/0,1,0,0.06,12.5,0,0,1,0.06,15,13,0,2,0,25.0,2020,reg
Patrick Mullins,TOR,F,16,4,416,1,1,8,4,1,0/0,0,1,0.22,12.5,0,1,0,0.22,8,3,4,1,0,50.0,2020,reg
George Bello,ATL,D,20,19,1648,1,1,8,2,0,0/0,0,1,0.05,12.5,0,1,0,0.05,12,23,1,2,0,25.0,2020,reg
Braian Galvan,COL,M,9,2,244,1,1,8,2,0,0/0,0,1,0.37,12.5,0,0,1,0.37,3,9,0,0,0,25.0,2020,reg
Kekuta Manneh,NE,F,8,3,246,1,1,9,5,0,0/0,0,1,0.37,11.1,0,0,1,0.37,3,4,1,1,0,55.56,2020,reg
Haris Medunjanin,CIN,M,21,19,1729,1,1,9,2,1,0/0,0,1,0.05,11.1,1,1,0,0.05,14,2,0,2,0,22.22,2020,reg
Jake Mulraney,ATL,F,18,8,707,1,1,9,5,0,0/0,0,1,0.13,11.1,0,0,1,0.13,11,23,1,3,1,55.56,2020,reg
Mason Toye,MTL,F,14,8,596,1,1,10,4,0,0/0,1,0,0.15,10.0,1,0,1,0.15,10,5,4,1,0,40.0,2020,reg
Magnus Eriksson,SJ,F,5,5,450,1,1,10,1,0,1/1,1,0,0.2,10.0,0,0,1,0.2,4,6,0,1,0,10.0,2020,reg
Lee Nguyen,NE,M,17,8,814,1,1,11,6,1,1/1,0,1,0.11,9.1,0,0,1,0.11,15,11,1,2,0,54.55,2020,reg
Mohamed El-Munir,LAFC,D,12,4,596,1,1,11,2,0,0/0,1,0,0.15,9.1,0,1,0,0.15,15,9,1,2,0,18.18,2020,reg
Eric Remedi,ATL,M,18,12,1161,1,1,11,1,0,0/0,0,1,0.08,9.1,1,1,0,0.08,19,45,1,4,0,9.09,2020,reg
Bill Tuiloma,POR,D-M,12,9,824,1,1,12,3,0,0/0,0,1,0.11,8.3,0,0,1,0.11,9,8,0,0,0,25.0,2020,reg
Will Bruin,SEA,F,15,5,558,1,1,13,4,0,0/0,1,0,0.16,7.7,0,0,1,0.16,4,10,4,1,0,30.77,2020,reg
Cade Cowell,SJ,F,17,4,466,1,1,14,7,0,0/0,0,1,0.19,7.1,0,0,1,0.19,15,6,1,0,0,50.0,2020,reg
Blaise Matuidi,MIA,M,15,14,1273,1,1,15,2,0,0/0,0,1,0.07,6.7,0,1,0,0.07,32,22,2,3,0,13.33,2020,reg
Erick Torres,ATL,F,13,4,492,1,1,15,6,0,0/0,0,1,0.18,6.7,0,1,0,0.18,10,17,0,1,0,40.0,2020,reg
Chase Gasper,MIN,D,18,16,1491,1,1,17,6,1,0/0,1,0,0.06,5.9,0,0,1,0.06,17,18,0,6,0,35.29,2020,reg
Dominique Badji,NSH,F,12,10,750,1,1,18,5,0,0/0,1,0,0.12,5.6,0,1,0,0.12,16,9,7,1,0,27.78,2020,reg
Nicolas Mezquida,COL,F-M,17,2,463,1,1,18,7,0,0/0,1,0,0.19,5.6,0,0,1,0.19,5,7,0,1,0,38.89,2020,reg
Samuel Piette,MTL,M,22,22,1943,1,1,19,6,1,0/0,0,1,0.05,5.3,0,0,1,0.05,35,24,0,3,1,31.58,2020,reg
Jesus Ferreira,DAL,F,19,13,979,1,1,19,7,1,0/0,1,0,0.09,5.3,1,1,0,0.09,6,9,2,3,0,36.84,2020,reg
Hassani Dotson,MIN,M-D,18,12,1211,1,1,19,7,0,0/0,0,1,0.07,5.3,0,1,0,0.07,22,17,0,2,0,36.84,2020,reg
Jackson Yueill,SJ,M,21,21,1861,1,1,20,8,1,0/0,0,1,0.05,5.0,1,0,1,0.05,22,21,0,5,1,40.0,2020,reg
Graham Zusi,SKC,M,15,14,1224,1,1,21,4,1,0/0,1,0,0.07,4.8,1,1,0,0.07,14,9,1,0,0,19.05,2020,reg
Pablo Ruiz,RSL,M,18,15,1328,1,1,33,8,0,0/0,1,0,0.07,3.0,1,1,0,0.07,19,6,0,4,0,24.24,2020,reg
Paxton Pomykal,DAL,M,5,1,150,1,0,1,1,0,0/0,1,0,0.6,100.0,0,0,0,0.0,1,5,0,1,0,100.0,2020,reg
Andreu Fontas,SKC,D,3,3,270,1,0,1,1,0,0/0,1,0,0.33,100.0,0,0,0,0.0,0,2,0,0,0,100.0,2020,reg
Andres Flores,POR,M,4,3,188,1,0,1,1,0,0/0,0,1,0.48,100.0,0,0,0,0.0,2,3,1,0,0,100.0,2020,reg
Mikey Ambrose,MIA,D,6,3,302,1,0,1,1,0,0/0,1,0,0.3,100.0,0,0,0,0.0,3,2,0,0,0,100.0,2020,reg
Matheus Aias,ORL,F,4,0,18,1,0,1,1,0,0/0,1,0,5.0,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,reg
Achara,TOR,F,1,1,89,1,0,2,2,1,0/0,1,0,1.01,50.0,0,0,0,0.0,1,1,1,0,0,100.0,2020,reg
Kai Koreniuk,LA,M,4,0,12,1,0,2,2,1,0/0,1,0,7.5,50.0,0,0,0,0.0,0,0,1,0,0,100.0,2020,reg
Tony Rocha,NYC,M,11,0,51,1,0,3,1,0,0/0,1,0,1.76,33.3,0,0,0,0.0,4,2,0,0,0,33.33,2020,reg
Chris Odoi-Atsem,DC,D,15,8,769,1,0,3,2,1,0/0,0,1,0.12,33.3,0,0,0,0.0,6,8,0,2,0,66.67,2020,reg
Giancarlo Gonzalez,LA,D,10,9,754,1,0,3,2,0,0/0,1,0,0.12,33.3,0,0,0,0.0,11,1,0,1,1,66.67,2020,reg
Dejan Jakovic,LAFC,D,16,12,1075,1,0,3,1,1,0/0,1,0,0.08,33.3,0,0,0,0.0,8,6,0,2,0,33.33,2020,reg
Krisztian Nemeth,CLB,F,4,2,186,1,0,3,1,1,0/0,1,0,0.48,33.3,0,0,0,0.0,4,4,0,0,0,33.33,2020,reg
Winston Reid,SKC,D,10,8,728,1,0,3,2,1,0/0,1,0,0.12,33.3,0,0,0,0.0,11,7,0,2,0,66.67,2020,reg
Christian Torres,LAFC,F,8,2,212,1,0,3,1,0,0/0,0,1,0.42,33.3,0,0,0,0.0,3,0,2,1,0,33.33,2020,reg
Drew Moor,COL,D,8,5,487,1,0,4,2,1,0/0,1,0,0.18,25.0,0,0,0,0.0,4,7,1,2,0,50.0,2020,reg
